name,lat_deg,lon_deg,alt_km,epoch,plane_index,sat_index,raan_deg,true_anomaly_deg
Optimized-Plane4-Sat10,-53.169964,97.539382,556.525,2000-01-01T12:00:00+00:00,3,9,108.000000,270.000000
Optimized-Plane4-Sat11,-43.936863,141.350807,553.117,2000-01-01T12:00:00+00:00,3,10,108.000000,300.000000
Optimized-Plane4-Sat12,-23.665557,168.379186,546.286,2000-01-01T12:00:00+00:00,3,11,108.000000,330.000000
Optimized-Plane5-Sat1,0.000000,-136.460618,542.863,2000-01-01T12:00:00+00:00,4,0,144.000000,0.000000
Optimized-Plane5-Sat2,23.665557,-117.300423,546.286,2000-01-01T12:00:00+00:00,4,1,144.000000,30.000000
Optimized-Plane5-Sat3,43.936863,-90.272044,553.117,2000-01-01T12:00:00+00:00,4,2,144.000000,60.000000
Optimized-Plane5-Sat4,53.169964,-46.460618,556.525,2000-01-01T12:00:00+00:00,4,3,144.000000,90.000000
Optimized-Plane5-Sat5,43.936863,-2.649193,553.117,2000-01-01T12:00:00+00:00,4,4,144.000000,120.000000
Optimized-Plane5-Sat6,23.665557,24.379186,546.286,2000-01-01T12:00:00+00:00,4,5,144.000000,150.000000
Optimized-Plane5-Sat7,0.000000,43.539382,542.863,2000-01-01T12:00:00+00:00,4,6,144.000000,180.000000
Optimized-Plane5-Sat8,-23.665557,62.699577,546.286,2000-01-01T12:00:00+00:00,4,7,144.000000,210.000000
Optimized-Plane5-Sat9,-43.936863,89.727956,553.117,2000-01-01T12:00:00+00:00,4,8,144.000000,240.000000
Optimized-Plane5-Sat10,-53.169964,133.539382,556.525,2000-01-01T12:00:00+00:00,4,9,144.000000,270.000000
Optimized-Plane5-Sat11,-43.936863,177.350807,553.117,2000-01-01T12:00:00+00:00,4,10,144.000000,300.000000
Optimized-Plane5-Sat12,-23.665557,-155.620814,546.286,2000-01-01T12:00:00+00:00,4,11,144.000000,330.000000
Optimized-Plane6-Sat1,0.000000,-100.460618,542.863,2000-01-01T12:00:00+00:00,5,0,180.000000,0.000000
Optimized-Plane6-Sat2,23.665557,-81.300423,546.286,2000-01-01T12:00:00+00:00,5,1,180.000000,30.000000
Optimized-Plane6-Sat3,43.936863,-54.272044,553.117,2000-01-01T12:00:00+00:00,5,2,180.000000,60.000000
Optimized-Plane6-Sat4,53.169964,-10.460618,556.525,2000-01-01T12:00:00+00:00,5,3,180.000000,90.000000
Optimized-Plane6-Sat5,43.936863,33.350807,553.117,2000-01-01T12:00:00+00:00,5,4,180.000000,120.000000
Optimized-Plane6-Sat6,23.665557,60.379186,546.286,2000-01-01T12:00:00+00:00,5,5,180.000000,150.000000
Optimized-Plane6-Sat7,0.000000,79.539382,542.863,2000-01-01T12:00:00+00:00,5,6,180.000000,180.000000
Optimized-Plane6-Sat8,-23.665557,98.699577,546.286,2000-01-01T12:00:00+00:00,5,7,180.000000,210.000000
Optimized-Plane6-Sat9,-43.936863,125.727956,553.117,2000-01-01T12:00:00+00:00,5,8,180.000000,240.000000
Optimized-Plane6-Sat10,-53.169964,169.539382,556.525,2000-01-01T12:00:00+00:00,5,9,180.000000,270.000000
Optimized-Plane6-Sat11,-43.936863,-146.649193,553.117,2000-01-01T12:00:00+00:00,5,10,180.000000,300.000000
Optimized-Plane6-Sat12,-23.665557,-119.620814,546.286,2000-01-01T12:00:00+00:00,5,11,180.000000,330.000000
Optimized-Plane7-Sat1,0.000000,-64.460618,542.863,2000-01-01T12:00:00+00:00,6,0,216.000000,0.000000
Optimized-Plane7-Sat2,23.665557,-45.300423,546.286,2000-01-01T12:00:00+00:00,6,1,216.000000,30.000000
Optimized-Plane7-Sat3,43.936863,-18.272044,553.117,2000-01-01T12:00:00+00:00,6,2,216.000000,60.000000
Optimized-Plane7-Sat4,53.169964,25.539382,556.525,2000-01-01T12:00:00+00:00,6,3,216.000000,90.000000
Optimized-Plane7-Sat5,43.936863,69.350807,553.117,2000-01-01T12:00:00+00:00,6,4,216.000000,120.000000
Optimized-Plane7-Sat6,23.665557,96.379186,546.286,2000-01-01T12:00:00+00:00,6,5,216.000000,150.000000
Optimized-Plane7-Sat7,0.000000,115.539382,542.863,2000-01-01T12:00:00+00:00,6,6,216.000000,180.000000
Optimized-Plane7-Sat8,-23.665557,134.699577,546.286,2000-01-01T12:00:00+00:00,6,7,216.000000,210.000000
Optimized-Plane7-Sat9,-43.936863,161.727956,553.117,2000-01-01T12:00:00+00:00,6,8,216.000000,240.000000
Optimized-Plane7-Sat10,-53.169964,-154.460618,556.525,2000-01-01T12:00:00+00:00,6,9,216.000000,270.000000
Optimized-Plane7-Sat11,-43.936863,-110.649193,553.117,2000-01-01T12:00:00+00:00,6,10,216.000000,300.000000
Optimized-Plane7-Sat12,-23.665557,-83.620814,546.286,2000-01-01T12:00:00+00:00,6,11,216.000000,330.000000
Optimized-Plane8-Sat1,0.000000,-28.460618,542.863,2000-01-01T12:00:00+00:00,7,0,252.000000,0.000000
Optimized-Plane8-Sat2,23.665557,-9.300423,546.286,2000-01-01T12:00:00+00:00,7,1,252.000000,30.000000
Optimized-Plane8-Sat3,43.936863,17.727956,553.117,2000-01-01T12:00:00+00:00,7,2,252.000000,60.000000
Optimized-Plane8-Sat4,53.169964,61.539382,556.525,2000-01-01T12:00:00+00:00,7,3,252.000000,90.000000
Optimized-Plane8-Sat5,43.936863,105.350807,553.117,2000-01-01T12:00:00+00:00,7,4,252.000000,120.000000
Optimized-Plane8-Sat6,23.665557,132.379186,546.286,2000-01-01T12:00:00+00:00,7,5,252.000000,150.000000
Optimized-Plane8-Sat7,0.000000,151.539382,542.863,2000-01-01T12:00:00+00:00,7,6,252.000000,180.000000
Optimized-Plane8-Sat8,-23.665557,170.699577,546.286,2000-01-01T12:00:00+00:00,7,7,252.000000,210.000000
Optimized-Plane8-Sat9,-43.936863,-162.272044,553.117,2000-01-01T12:00:00+00:00,7,8,252.000000,240.000000
Optimized-Plane8-Sat10,-53.169964,-118.460618,556.525,2000-01-01T12:00:00+00:00,7,9,252.000000,270.000000
Optimized-Plane8-Sat11,-43.936863,-74.649193,553.117,2000-01-01T12:00:00+00:00,7,10,252.000000,300.000000
Optimized-Plane8-Sat12,-23.665557,-47.620814,546.286,2000-01-01T12:00:00+00:00,7,11,252.000000,330.000000
Optimized-Plane9-Sat1,0.000000,7.539382,542.863,2000-01-01T12:00:00+00:00,8,0,288.000000,0.000000
Optimized-Plane9-Sat2,23.665557,26.699577,546.286,2000-01-01T12:00:00+00:00,8,1,288.000000,30.000000
Optimized-Plane9-Sat3,43.936863,53.727956,553.117,2000-01-01T12:00:00+00:00,8,2,288.000000,60.000000
Optimized-Plane9-Sat4,53.169964,97.539382,556.525,2000-01-01T12:00:00+00:00,8,3,288.000000,90.000000
Optimized-Plane9-Sat5,43.936863,141.350807,553.117,2000-01-01T12:00:00+00:00,8,4,288.000000,120.000000
Optimized-Plane9-Sat6,23.665557,168.379186,546.286,2000-01-01T12:00:00+00:00,8,5,288.000000,150.000000
Optimized-Plane9-Sat7,0.000000,-172.460618,542.863,2000-01-01T12:00:00+00:00,8,6,288.000000,180.000000
Optimized-Plane9-Sat8,-23.665557,-153.300423,546.286,2000-01-01T12:00:00+00:00,8,7,288.000000,210.000000
Optimized-Plane9-Sat9,-43.936863,-126.272044,553.117,2000-01-01T12:00:00+00:00,8,8,288.000000,240.000000
Optimized-Plane9-Sat10,-53.169964,-82.460618,556.525,2000-01-01T12:00:00+00:00,8,9,288.000000,270.000000
Optimized-Plane9-Sat11,-43.936863,-38.649193,553.117,2000-01-01T12:00:00+00:00,8,10,288.000000,300.000000
Optimized-Plane9-Sat12,-23.665557,-11.620814,546.286,2000-01-01T12:00:00+00:00,8,11,288.000000,330.000000
Optimized-Plane10-Sat1,0.000000,43.539382,542.863,2000-01-01T12:00:00+00:00,9,0,324.000000,0.000000
Optimized-Plane10-Sat2,23.665557,62.699577,546.286,2000-01-01T12:00:00+00:00,9,1,324.000000,30.000000
Optimized-Plane10-Sat3,43.936863,89.727956,553.117,2000-01-01T12:00:00+00:00,9,2,324.000000,60.000000
Optimized-Plane10-Sat4,53.169964,133.539382,556.525,2000-01-01T12:00:00+00:00,9,3,324.000000,90.000000
Optimized-Plane10-Sat5,43.936863,177.350807,553.117,2000-01-01T12:00:00+00:00,9,4,324.000000,120.000000
Optimized-Plane10-Sat6,23.665557,-155.620814,546.286,2000-01-01T12:00:00+00:00,9,5,324.000000,150.000000
Optimized-Plane10-Sat7,0.000000,-136.460618,542.863,2000-01-01T12:00:00+00:00,9,6,324.000000,180.000000
Optimized-Plane10-Sat8,-23.665557,-117.300423,546.286,2000-01-01T12:00:00+00:00,9,7,324.000000,210.000000
Optimized-Plane10-Sat9,-43.936863,-90.272044,553.117,2000-01-01T12:00:00+00:00,9,8,324.000000,240.000000
Optimized-Plane10-Sat10,-53.169964,-46.460618,556.525,2000-01-01T12:00:00+00:00,9,9,324.000000,270.000000
Optimized-Plane10-Sat11,-43.936863,-2.649193,553.117,2000-01-01T12:00:00+00:00,9,10,324.000000,300.000000
Optimized-Plane10-Sat12,-23.665557,24.379186,546.286,2000-01-01T12:00:00+00:00,9,11,324.000000,330.000000
